,Lycorine_A1,Lycorine_A9,Lycorine_A18,Bufalin_B3,Bufalin_B12,Bufalin_B20,DMSO_C5,DMSO_C14,DMSO_C22
ENSRNOG00000000808,2120,1371,1807,3076,2712,3413,3726,2289,3381
ENSRNOG00000000809,308,329,345,219,220,375,570,300,292
ENSRNOG00000000811,23,16,14,14,24,28,33,28,19
ENSRNOG00000000812,1460,1335,1204,982,993,1146,1588,995,931
ENSRNOG00000000814,0,0,0,0,0,0,0,0,0
ENSRNOG00000000815,452,424,301,262,285,295,285,229,245
ENSRNOG00000000816,2454,2357,2330,2142,2063,2777,4270,2510,2448
ENSRNOG00000000818,140,36,66,62,32,68,56,42,33
ENSRNOG00000000823,187,285,157,203,187,214,460,235,192
ENSRNOG00000000824,95,55,55,94,85,120,261,149,86
ENSRNOG00000000825,106,30,12,16,4,8,33,4,0
ENSRNOG00000000826,2887,3637,3154,1360,1824,1798,2316,2058,1786
ENSRNOG00000000827,11789,8102,8353,13559,10218,12914,13824,8147,11345
ENSRNOG00000000831,109,132,87,196,204,255,415,253,215
ENSRNOG00000000833,239,318,234,297,328,431,559,293,383
ENSRNOG00000000836,0,0,0,0,0,0,0,0,0
ENSRNOG00000000837,1,0,0,0,0,0,0,0,0
ENSRNOG00000000838,0,1,0,1,6,1,0,5,0
ENSRNOG00000000839,495,523,432,261,205,241,309,199,185
ENSRNOG00000000840,38,58,38,32,47,48,22,25,71
ENSRNOG00000000841,14166,10794,11659,13404,11172,12931,25110,10952,12171
ENSRNOG00000000842,616,801,644,256,407,434,377,418,319
ENSRNOG00000000843,77,32,59,16,9,9,6,6,8
ENSRNOG00000000844,0,0,3,0,1,1,0,2,1
ENSRNOG00000000846,14,0,1,0,0,0,0,2,0
ENSRNOG00000000847,2786,2045,2136,2716,2707,2655,3485,2360,2379
ENSRNOG00000000848,415,327,273,460,399,493,645,474,472
ENSRNOG00000000850,71,43,47,13,15,16,39,15,12
ENSRNOG00000000851,7267,7494,6714,7529,7225,8460,9543,6478,7041
ENSRNOG00000000852,23773,17427,19213,14922,13492,17057,22022,12525,14488
ENSRNOG00000000853,0,3,0,36,20,27,43,45,16
ENSRNOG00000000854,7,4,7,4,1,2,4,4,2
ENSRNOG00000000855,2,1,0,8,10,9,19,2,6
ENSRNOG00000000857,546,206,290,12,18,27,19,16,15
ENSRNOG00000000858,6,1,4,5,2,0,0,1,1
ENSRNOG00000000860,1121,1566,1021,213,375,637,347,340,386
ENSRNOG00000000861,0,0,1,0,0,0,0,0,0
ENSRNOG00000000866,1194,706,890,660,436,584,943,428,448
ENSRNOG00000000867,3588,3635,3065,4070,4459,5253,5959,4620,4528
ENSRNOG00000000869,213,363,216,197,203,338,328,211,220
ENSRNOG00000000871,0,0,0,1,0,2,1,2,1
ENSRNOG00000000873,0,0,0,0,0,0,0,1,0
ENSRNOG00000000875,13192,7090,4625,13457,29686,16355,21468,12987,20485
ENSRNOG00000000878,4,1,0,0,2,1,0,0,0
ENSRNOG00000000879,185,338,181,298,409,397,507,358,331
ENSRNOG00000000881,839,845,552,632,700,800,875,703,717
ENSRNOG00000000885,598,1157,852,286,210,411,317,151,271
ENSRNOG00000000886,23,7,7,2,5,3,5,2,6
ENSRNOG00000000887,7,7,2,9,7,11,17,13,13
ENSRNOG00000000888,1200,1209,968,927,1021,1059,1221,1028,891
ENSRNOG00000000889,11,6,6,14,12,6,14,3,2
ENSRNOG00000000891,137,155,122,88,91,101,162,98,99
